,year,gender,age,fasting_time,has_hypertension_diagnosis,hypertension_prevalence,has_diabetes_diagnosis,diabetes_prevalence,drinking_experience,drinking_frequency,drinking_amount_per_session,smoking_status,smoking_fr_per_day,sbp,dbp,pulse,height,weight,waist_circumference,bmi,fbs,hba1c,total_cholesterol,hdl,triglyceride,ldl,ast,alt,creatinine,urine_protein,urine_glucose,family_history_diabetes,family_history_hypertension
year,1.0,0.0020391353664221982,0.03536076254844479,0.10605290059993316,-0.024553777739467927,-0.016400422753427877,0.0444416263230489,0.05089317119998697,-0.013433913895664217,-0.046988460428052485,0.02530866085375857,-0.0037226236663439297,-0.011146360802053378,-0.028202992373274307,0.008964156365881173,0.06787239907314778,0.05153857761990073,0.04673608277443962,0.06645762809103328,0.018421234967766646,-0.02907308863583078,-0.04367919638964825,-0.15340207108226442,0.1816638109491606,-0.06707951265650187,-0.1414214998303835,-0.014721739964400866,-0.005553621927068174,-0.03587801308898508,-0.007961374101038832,0.09419486955614709,0.07655414372727934,0.04643596252019687
gender,0.0020391353664221982,1.0,-0.14682520508307206,-0.05003208767707166,-0.0315213617400803,-0.05337411510930889,0.03896783164595629,0.0375362503832109,-0.3253742534296325,0.21609726838064655,0.41799434366038735,-0.5779947164693688,0.30644057987670437,-0.0771750605225246,0.09202164737062946,-0.05646904129690104,0.7491392338596001,0.4712687774278809,0.24121396891894017,0.010135156218933591,0.09198902207049788,0.026539680984615392,-0.09664797091537164,-0.21157240565578134,0.13148003158133667,-0.06242342917315177,0.06168363250612845,0.14023812196115087,0.3391375131926044,0.09238251415016206,0.12069488165708946,-0.023817388564508102,-0.07767568174248542
age,0.03536076254844479,-0.14682520508307206,1.0,0.05915552939614793,0.10663945099133926,0.14344731368558533,0.013240342488089545,0.018846682621503488,0.2775601979875048,0.008071775690361157,-0.3889537416338399,0.16011637375787163,-0.21610164085435646,0.185776455325841,-0.38122241673251556,0.057007359214571694,-0.41232651312653096,-0.4410810496692745,-0.10092617956969027,-0.23832735648895764,-0.06936673653344826,-0.032494495447440624,-0.13343103907983622,0.003713813905171192,-0.176538257034295,-0.12246777986903959,-0.03638538246415385,-0.22298072605176464,0.05032614164144875,-0.024451417806417557,-0.08780140495620396,-0.19749181835922325,-0.2561571961282442
fasting_time,0.10605290059993316,-0.05003208767707166,0.05915552939614793,1.0,0.04226857994202078,0.03369940184910564,-0.05567639196574285,-0.05050789200144496,0.0540911015423575,0.00886400669306742,-0.04479949555972522,0.09561608110866401,-0.07531471412235985,0.04045906713882558,0.03730244629619312,-0.037996987489323876,-0.04713828684663388,-0.03161171432051462,-0.014056980511792543,-0.0017933738489228608,-0.1371725077024013,-0.04998505810088628,0.036009261363180604,0.06395829021479721,-0.06371441159951595,0.03533261959569125,0.002337804725604192,-0.01052499811197743,-0.008167182745659194,0.04131062738523034,-0.05132842511357279,-0.02111736539121716,0.01437683665837884
has_hypertension_diagnosis,-0.024553777739467927,-0.0315213617400803,0.10663945099133926,0.04226857994202078,1.0,0.8529601957505982,-0.5007163388160095,-0.5049522125648614,0.0015583728162784371,0.041233697828884586,0.0025230052957445404,0.04079971737913161,-0.056173012982866824,0.17741548197084028,0.11656515636293799,-0.007738178910469896,-0.06121189428920423,0.024689452891906973,0.05634737447335551,0.08680690900827093,-0.3050614002535482,-0.35739274295349593,0.0906702298720095,0.041313211626982746,-0.010813251192362199,0.07016413907311432,0.01777007967037717,-0.01431099561734938,0.03096941435569878,0.011494972598584854,-0.2321652152116964,-0.18554802609675106,0.1574307622130025
hypertension_prevalence,-0.016400422753427877,-0.05337411510930889,0.14344731368558533,0.03369940184910564,0.8529601957505982,1.0,-0.42175808696687567,-0.41808387175470973,0.015496000525463124,0.04162055881283745,-0.01650240805909664,0.05455576135629571,-0.05779430956470087,0.14154995068869,0.05662493609852827,-0.00511495664498689,-0.09525341526399957,0.013969566978543976,0.07566986692045026,0.10164764365845673,-0.2522216188092805,-0.2944701825514766,0.038757276157743846,0.019875095691906756,-0.000995144228269675,0.025196065176077743,0.02261579963379248,-0.009780000302196406,0.012559144006460929,0.008844517700643319,-0.19340008664009498,-0.161191640968426,0.14736156490474567
has_diabetes_diagnosis,0.0444416263230489,0.03896783164595629,0.013240342488089545,-0.05567639196574285,-0.5007163388160095,-0.42175808696687567,1.0,0.9797596956152957,0.025987171702597737,-0.022864433053509714,-0.009200334674718362,-0.05340321882609805,0.04933471671601274,-0.09703690996667556,-0.1782397876754186,0.06446820661514975,0.03721170815035866,0.023147525866273375,0.06984646699068188,-0.001140035659699315,0.4845640202087624,0.5720766420717259,-0.2385971085624294,-0.11156609197231311,0.03408926988375267,-0.20919512747037336,-0.01723619837186658,0.018804748134104876,0.03314367026422527,0.03392376149761887,0.3704780394405725,0.25368224282903,-0.11269152896325613
diabetes_prevalence,0.05089317119998697,0.0375362503832109,0.018846682621503488,-0.05050789200144496,-0.5049522125648614,-0.41808387175470973,0.9797596956152957,1.0,0.028320163110512817,-0.02625962827367135,-0.01222903941423589,-0.04915081826966228,0.048629761880985646,-0.0974236056084049,-0.1834516256782994,0.05821397777632975,0.036005933665599454,0.023891650367031437,0.07571731896026528,0.0014094327858685453,0.49498714097514346,0.588334907164887,-0.25404048424247305,-0.12050125794374489,0.03192163282735096,-0.22438612203797065,-0.014965631860221136,0.020634591950005138,0.033126852195077,0.034879236183040424,0.38553664253108283,0.26291524970143726,-0.11534887023570854
drinking_experience,-0.013433913895664217,-0.3253742534296325,0.2775601979875048,0.0540911015423575,0.0015583728162784371,0.015496000525463124,0.025987171702597737,0.028320163110512817,1.0,0.32894242145173386,-0.5506808505238849,0.3869377844530276,-0.15946466507869295,0.06404999269316723,-0.14948774908764934,0.023010281565086936,-0.3261868097804314,-0.23590788562457757,-0.08174437424133058,-0.04472404837642323,-0.03446902004603741,0.02444450776681317,-0.019103627986176753,-0.030620298746698693,-0.08681186383530572,0.014382299211258028,-0.04252377825728171,-0.08405928913063267,-0.03851673006753485,-0.012358348890280384,-0.04372209794796477,-0.01925042669816857,-0.050846174696989085
drinking_frequency,-0.046988460428052485,0.21609726838064655,0.008071775690361157,0.00886400669306742,0.041233697828884586,0.04162055881283745,-0.022864433053509714,-0.02625962827367135,0.32894242145173386,1.0,0.16943654115557688,-0.05271269997961758,0.16530367408020188,0.02342116474528284,0.029848932919934103,0.02990823266981811,0.14229593767278417,0.07257980165556502,0.05578685086280289,-0.01859876613263874,0.019558577780487828,-0.030686508829144497,0.02235319217460663,0.02504600926775319,0.08160340567955982,-0.004896578828879782,0.07887572478677189,0.025280652683563627,0.047090531033953005,0.03871518133842445,0.013677977207119238,-0.028915363316044267,-0.03104504444067661
