,missing_count,missing_ratio
year,0,0.0
gender,0,0.0
age,0,0.0
fasting_time,0,0.0
has_hypertension_diagnosis,0,0.0
hypertension_prevalence,0,0.0
has_diabetes_diagnosis,0,0.0
diabetes_prevalence,3,0.00019358585532683746
drinking_experience,299,0.019294056914241468
drinking_frequency,299,0.019294056914241468
drinking_amount_per_session,299,0.019294056914241468
smoking_status,317,0.02045557204620249
smoking_fr_per_day,319,0.02058462928308705
sbp,108,0.006969090791766148
dbp,108,0.006969090791766148
pulse,13671,0.8821707427243982
height,318,0.02052010066464477
weight,52,0.003355488158998516
waist_circumference,207,0.013357424017551784
bmi,321,0.020713686519971606
fbs,0,0.0
hba1c,40,0.002581144737691166
total_cholesterol,0,0.0
hdl,5,0.00032264309221139575
triglyceride,0,0.0
ldl,7177,0.46312189456023745
ast,2,0.0001290572368845583
alt,13,0.000838872039749629
creatinine,0,0.0
urine_protein,345,0.022262373362586307
urine_glucose,345,0.022262373362586307
family_history_diabetes,0,0.0
family_history_hypertension,0,0.0
