,year,gender,age,fasting_time,has_hypertension_diagnosis,hypertension_prevalence,has_diabetes_diagnosis,diabetes_prevalence,drinking_experience,drinking_frequency,drinking_amount_per_session,smoking_status,smoking_fr_per_day,sbp,dbp,pulse,height,weight,waist_circumference,bmi,fbs,hba1c,total_cholesterol,hdl,triglyceride,ldl,ast,alt,creatinine,urine_protein,urine_glucose,family_history_diabetes,family_history_hypertension
count,15497.0,15497,15497.0,15497.0,15497.0,15497.0,15497.0,15494.0,15198,15198,15198.0,15180,15178.0,15389.0,15389.0,1826.0,15179.0,15445.0,15290.0,15176.0,15497.0,15457.0,15497.0,15492.0,15497.0,8320.0,15495.0,15484.0,15497.0,15152,15152,15497.0,15497.0
unique,,2,,,,,,,3,6,,3,,,,,,,,,,,,,,,,,,6,6,,
top,,F,,,,,,,CURRENT,NOT_APPLICABLE,,NEVER,,,,,,,,,,,,,,,,,,-,-,,
freq,,8152,,,,,,,8982,6216,,8684,,,,,,,,,,,,,,,,,,12708,13028,,
mean,2020.097631799703,,65.5929534748661,13.277860231012454,0.8694586048912692,0.8289346325095179,0.36090856294766727,0.3498773718858913,,,2.9081787077247006,,2.045328765318224,128.1428942751316,75.62521931249594,59.57776560788609,160.78063772317014,65.21768209776627,88.34142576847614,25.129363121545133,114.43576176034071,6.237115869832439,173.64186616764536,50.29774469475101,141.09801897141384,98.31165865384615,25.818457566957083,24.193748385430123,0.8628824933858165,,,0.2714718977866684,0.46970381364134994
std,2.7185722726823323,,11.191181207415418,2.810086902557723,0.33690898439270256,0.3765782234993953,0.4945781413575928,0.4769464102008572,,,4.011996006407207,,5.784703388515735,16.179623103210915,10.211221962289402,14.486866178103893,9.430068005852098,12.481079129959998,9.519112076734334,3.502555525403868,31.89624690542055,1.0620420284912955,39.23919634781801,13.161052064256573,99.38690026387708,34.708763523202634,15.638681842303798,17.73641164550359,0.3652899233823823,,,0.4447332565300559,0.4990974003697033
min,2015.0,,19.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,76.5,37.0,26.0,126.1,29.2,50.5,13.623876496760131,44.0,3.3,66.0,14.0,22.0,19.0,8.0,1.0,0.2,,,0.0,0.0
25%,2018.0,,59.0,12.0,1.0,1.0,0.0,0.0,,,0.0,,0.0,117.0,69.0,52.0,153.6,56.3,82.0,22.79972945779694,96.0,5.6,145.0,41.0,84.0,72.0,19.0,15.0,0.68,,,0.0,0.0
50%,2020.0,,67.0,13.0,1.0,1.0,0.0,0.0,,,1.5,,0.0,127.0,75.0,56.0,160.4,64.0,88.2,24.85419056817236,105.0,5.9,170.0,48.700036935842945,117.0,95.0,23.0,20.0,0.81,,,0.0,0.0
75%,2022.0,,75.0,15.0,1.0,1.0,1.0,1.0,,,3.5,,0.0,137.0,82.0,58.0,168.0,72.5,94.3,27.08524541500106,123.0,6.6,199.0,58.0,168.0,121.0,28.0,28.0,0.96,,,1.0,1.0
max,2024.0,,80.0,39.0,1.0,1.0,9.0,1.0,,,35.0,,60.0,223.0,148.0,138.0,193.5,159.1,147.5,50.89857906267275,460.0,17.6,421.0,142.0,2115.0,323.0,927.0,816.0,10.56,,,1.0,1.0
